node,radius,density
443,0.61241,67
10,1.2668,68
97,1.0575,68
279,1.5268,68
159,1.6038,69
68,1.0829,70
472,0.77562,70
21,1.4824,71
172,1.0798,71
180,0.83895,71
348,0.99993,71
393,1.217,71
259,2.2647,72
404,0.92755,72
194,0.83545,73
475,1.6534,73
92,1.6978,74
308,1.0967,74
120,2.099,75
242,1.0939,75
496,0.79863,75
70,1.0989,76
186,0.73111,76
220,1.6839,76
119,0.87265,77
151,0.47559,77
421,1.4494,77
285,1.1421,78
147,2.8313,79
160,1.092,79
6,1.5583,80
126,1.0591,80
288,1.1074,80
298,1.127,80
492,1.3027,80
497,2.0556,81
234,0.34308,83
271,1.3616,83
296,1.6812,83
343,1.1956,83
442,0.93817,84
29,1.6589,85
81,1.4834,85
281,0.70964,85
331,1.1145,85
415,1.942,86
141,0.94203,87
174,0.98206,87
217,1.3224,87
500,1.2874,87
400,1.4505,88
135,1.3882,89
407,1.4348,89
82,0.76694,91
215,0.91182,91
230,1.3722,91
413,0.81746,91
372,1.045,93
457,0.73758,93
62,1.1381,94
129,1.789,94
165,1.1564,94
58,1.1891,95
493,1.1251,95
60,1.0267,96
109,1.0704,96
208,1.1385,97
216,1.2056,97
437,0.63231,97
362,1.5862,99
477,0.87999,99
204,1.3426,100
246,0.90817,100
453,1.5607,100
132,0.5994,101
226,0.83853,101
476,1.5545,101
274,1.4707,102
390,0.74913,104
78,1.0644,107
241,1.1446,107
425,1.1834,107
490,0.99217,107
190,1.214,111
320,1.5877,111
144,1.283,113
346,0.53698,113
137,1.3672,115
42,0.85889,118
394,1.7165,119
125,1.6582,121
46,1.2018,122
136,1.2861,128
164,0.8784,128
338,1.2536,131
313,0.93166,132
273,0.979,137
306,1.239,141
287,1.1775,174
161,0.75701,184
